10	21	0.1427843123	142.78
20	20	0.2019275109	201.93
18	21	0.191565257	191.57
28	19	0.238923853	238.92
19	21	0.1968145922	196.81
14	21	0.1689446767	168.94
19	21	0.1968145922	196.81
24	57	0.2212005054	221.2
14	29	0.1689446767	168.94
18	22	0.191565257	191.57
21	56	0.2069141263	206.91
15	27	0.1748743542	174.87
9	20	0.1354570923	135.46
11	66	0.1497534501	149.75
15	21	0.1748743542	174.87
17	21	0.1861679664	186.17
21	42	0.2069141263	206.91
24	68	0.2212005054	221.2
12	51	0.1564123774	156.41
22	54	0.2117833602	211.78
15	31	0.1748743542	174.87
19	65	0.1968145922	196.81
14	31	0.1689446767	168.94
4	23	0.0903047282	90.3
26	65	0.2302327856	230.23
7	23	0.1194619265	119.46
12	24	0.1564123774	156.41
23	34	0.2165431311	216.54
17	27	0.1861679664	186.17
19	38	0.1968145922	196.81
27	63	0.2346185661	234.62
21	46	0.2069141263	206.91
10	27	0.1427843123	142.78
12	18	0.1564123774	156.41
10	18	0.1427843123	142.78
13	19	0.162799164	162.8
17	19	0.1861679664	186.17
15	18	0.1748743542	174.87
12	18	0.1564123774	156.41
15	19	0.1748743542	174.87
18	20	0.191565257	191.57
13	18	0.162799164	162.8
10	18	0.1427843123	142.78
15	18	0.1748743542	174.87
17	18	0.1861679664	186.17
13	18	0.162799164	162.8
10	18	0.1427843123	142.78
16	18	0.1806094564	180.61
18	18	0.191565257	191.57
15	18	0.1748743542	174.87
14	21	0.1689446767	168.94
19	21	0.1968145922	196.81
21	19	0.2069141263	206.91
5	21	0.1009637555	100.96
29	59	0.2431529221	243.15
9	24	0.1354570923	135.46
13	21	0.162799164	162.8
16	28	0.1806094564	180.61
27	69	0.2346185661	234.62
13	21	0.162799164	162.8
9	21	0.1354570923	135.46
12	22	0.1564123774	156.41
21	19	0.2069141263	206.91
9	20	0.1354570923	135.46
15	29	0.1748743542	174.87
17	23	0.1861679664	186.17
13	42	0.162799164	162.8
21	65	0.2069141263	206.91
24	56	0.2212005054	221.2
19	59	0.1968145922	196.81
